experiment,seed,requester_rrid,address,length,operation,M4_config,REF_config,enable,configured,M4_result,REF_result,same,difference_classification,explanation
DIFF-0017,17,2,0x20000490,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0018,18,1,0x20000db4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0019,19,1,0x2000046c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0020,20,1,0x20000380,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0021,21,2,0x20000c50,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0022,22,1,0x2000005c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0023,23,1,0x20000888,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0024,24,1,0x2000050c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0025,25,2,0x200005b4,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0026,26,1,0x2000065c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0027,27,1,0x20000004,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0028,28,1,0x20000b9c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0029,29,2,0x200001d8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0030,30,1,0x20000234,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0031,31,1,0x20000f34,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0032,32,1,0x20000d88,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0033,33,2,0x2000066c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0034,34,1,0x20000bf0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0035,35,1,0x20000ad0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0036,36,1,0x200001e0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0037,37,2,0x2000079c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0038,38,1,0x20000f20,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0039,39,1,0x20000dc8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0040,40,2,0x20000324,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0041,41,2,0x20000620,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0042,42,1,0x200007fc,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0043,43,1,0x20000320,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0044,44,2,0x20000790,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0045,45,1,0x200001e0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0046,46,1,0x20000e8c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0047,47,2,0x20000f90,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0048,48,2,0x200001f0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0049,49,1,0x20000508,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0050,50,2,0x2000022c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0051,51,1,0x200007e0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0052,52,1,0x20000a1c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0053,53,1,0x200007a0,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0054,54,2,0x20000250,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0055,55,1,0x200006d0,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0056,56,1,0x20000230,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0057,57,1,0x200009ac,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0058,58,2,0x20000040,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0059,59,1,0x20000350,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0060,60,1,0x2000036c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0061,61,1,0x200006bc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0062,62,1,0x20000870,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0063,63,1,0x200001a0,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0064,64,1,0x2000042c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0065,65,1,0x20000dac,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0066,66,1,0x200004c4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0067,67,2,0x200004bc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0068,68,1,0x20000144,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0069,69,1,0x20000348,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0070,70,2,0x200004f0,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0071,71,1,0x200005a8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0072,72,1,0x20000aa0,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0073,73,1,0x200007f0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0074,74,1,0x20000f0c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0075,75,1,0x20000748,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0076,76,1,0x20000238,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0077,77,1,0x20000cc8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0078,78,2,0x200000e0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0079,79,1,0x2000087c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0080,80,1,0x20000df4,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0081,81,1,0x20000614,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0082,82,1,0x2000064c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0083,83,2,0x20000a08,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0084,84,1,0x200009e4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0085,85,1,0x20000410,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0086,86,1,0x20000590,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0087,87,1,0x20000000,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0088,88,2,0x20000a4c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0089,89,1,0x2000056c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0090,90,1,0x20000ab8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0091,91,1,0x2000065c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0092,92,2,0x20000254,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0093,93,1,0x20000c48,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0094,94,2,0x20000368,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0095,95,1,0x20000edc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0096,96,2,0x20000edc,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0097,97,2,0x20000e28,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0098,98,2,0x20000e44,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0099,99,2,0x20000848,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0100,100,2,0x20000f80,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0101,101,1,0x20000924,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0102,102,2,0x200004d0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0103,103,2,0x20000d08,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0104,104,1,0x20000c74,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0105,105,1,0x20000c2c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0106,106,1,0x20000d68,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0107,107,2,0x2000070c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0108,108,1,0x20000cf0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0109,109,2,0x200000dc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0110,110,1,0x200002ac,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0111,111,1,0x20000198,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0112,112,1,0x20000c20,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0113,113,1,0x20000f0c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0114,114,2,0x20000230,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0115,115,2,0x200007e8,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0116,116,1,0x200003a8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0117,117,1,0x20000bcc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0118,118,2,0x2000053c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0119,119,1,0x200009f8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0120,120,2,0x20000658,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0121,121,2,0x200009a4,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0122,122,2,0x20000150,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0123,123,1,0x20000ae8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0124,124,1,0x20000b94,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0125,125,2,0x20000dec,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0126,126,2,0x20000f78,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0127,127,1,0x200007d8,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0128,128,1,0x200007cc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0129,129,1,0x20000ac0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0130,130,1,0x20000844,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0131,131,2,0x20000050,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0132,132,1,0x20000d00,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0133,133,2,0x20000fb4,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0134,134,1,0x200007c8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0135,135,1,0x20000d9c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0136,136,1,0x20000e84,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0137,137,1,0x200003d0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0138,138,2,0x20000620,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0139,139,2,0x2000090c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0140,140,2,0x20000b8c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0141,141,1,0x200001bc,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0142,142,2,0x20000fb4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0143,143,1,0x20000ae4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0144,144,2,0x20000214,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0145,145,2,0x200004c4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0146,146,2,0x200007f0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0147,147,2,0x20000738,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0148,148,1,0x20000980,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0149,149,2,0x200001ec,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0150,150,2,0x200006a4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0151,151,1,0x200007ac,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0152,152,1,0x20000f08,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0153,153,2,0x20000e84,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0154,154,1,0x20000654,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0155,155,2,0x2000048c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0156,156,1,0x2000093c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0157,157,1,0x200008b4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0158,158,1,0x20000144,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0159,159,2,0x200000d0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0160,160,2,0x200000a8,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0161,161,2,0x20000148,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0162,162,1,0x20000e24,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0163,163,1,0x20000fbc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0164,164,1,0x20000a44,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0165,165,2,0x20000fd8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0166,166,2,0x20000e8c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0167,167,1,0x20000008,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0168,168,1,0x20000600,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0169,169,2,0x20000e24,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0170,170,1,0x20000934,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0171,171,1,0x200007a8,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0172,172,1,0x20000d0c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0173,173,2,0x200003c0,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0174,174,1,0x20000954,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0175,175,1,0x20000f1c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0176,176,1,0x2000045c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0177,177,1,0x20000d44,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0178,178,1,0x2000098c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
